Date,Revenue,COGS,COGS_margin,Year,Covid_Decay_Shock
2012-07-04,5123547.94,3982991.19,0.7773892694366006,2012,0.0
2012-07-05,2751773.45,2150580.23,0.781525176064185,2012,0.0
2012-07-06,3054029.42,2517632.84,0.8243643049122952,2012,0.0
2012-07-07,2667930.94,2108246.62,0.7902178382473424,2012,0.0
2012-07-08,2360851.9,1808622.79,0.7660890503127282,2012,0.0
2012-07-09,3548386.46,2787841.68,0.7856646144456317,2012,0.0
2012-07-10,5234938.62,4044438.84,0.7725857232687094,2012,0.0
2012-07-11,5582884.78,4338313.07,0.7770737245987012,2012,0.0
2012-07-12,5734632.02,4458811.27,0.7775235192858982,2012,0.0
2012-07-13,5309511.71,4143402.78,0.7803736023778352,2012,0.0
2012-07-14,3820831.41,3075464.87,0.8049203275367756,2012,0.0
2012-07-15,3948841.28,3154482.05,0.7988373870524368,2012,0.0
2012-07-16,3503801.49,2708219.59,0.7729375073700308,2012,0.0
2012-07-17,4476729.49,3463061.65,0.7735695573600538,2012,0.0
2012-07-18,5184141.46,4072012.16,0.7854747389551365,2012,0.0
2012-07-19,6421487.11,5007270.91,0.7797681166722765,2012,0.0
2012-07-20,5171470.46,4213989.64,0.8148532748265954,2012,0.0
2012-07-21,3442157.02,2746075.45,0.797777508127738,2012,0.0
2012-07-22,3117550.57,2531656.38,0.8120658584858176,2012,0.0
2012-07-23,4730517.69,3685006.66,0.778985916866955,2012,0.0
2012-07-24,4096496.12,3248450.65,0.792982723489068,2012,0.0
2012-07-25,5246688.08,4140019.37,0.7890728983454264,2012,0.0
2012-07-26,5851965.06,4579171.74,0.7825015517095382,2012,0.0
2012-07-27,5156699.45,3989402.2,0.7736348101497363,2012,0.0
2012-07-28,4326956.84,3403662.59,0.7866181050236684,2012,0.0
2012-07-29,4804199.65,3819645.91,0.7950639416078389,2012,0.0
2012-07-30,6586130.95,5195109.56,0.7887953639913582,2012,0.0
2012-07-31,9151622.14,7142891.18,0.7805054744098077,2012,0.0
2012-08-01,9148357.3,7308514.33,0.7988881599541373,2012,0.0
2012-08-02,9692427.0,7537501.15,0.7776691173428493,2012,0.0
2012-08-03,9297269.95,7118808.46,0.7656880458763059,2012,0.0
2012-08-04,6384195.03,5087528.11,0.7968942186279043,2012,0.0
2012-08-05,2359224.19,1863413.11,0.7898414732683798,2012,0.0
2012-08-06,3630003.7,2922718.71,0.8051558487392175,2012,0.0
2012-08-07,2240253.44,1781265.84,0.7951180023631612,2012,0.0
2012-08-08,2617553.36,1997006.42,0.7629286380622247,2012,0.0
2012-08-09,4478691.52,3621672.71,0.8086452692325637,2012,0.0
2012-08-10,3412496.65,2699279.56,0.790998449771372,2012,0.0
2012-08-11,2732604.35,2168668.05,0.7936268014796946,2012,0.0
2012-08-12,3388181.83,2654275.25,0.7833922095025224,2012,0.0
2012-08-13,3928170.01,3189564.96,0.8119722292773168,2012,0.0
2012-08-14,4033912.16,3258198.58,0.8077019158493526,2012,0.0
2012-08-15,3780293.26,2886923.59,0.7636771518620225,2012,0.0
2012-08-16,5249978.18,4222455.97,0.80428067036271,2012,0.0
2012-08-17,4089284.05,3238908.92,0.792047918510332,2012,0.0
2012-08-18,3450015.71,2808916.94,0.8141751157417193,2012,0.0
2012-08-19,3904300.93,3006801.4,0.7701254216590318,2012,0.0
2012-08-20,3541027.32,2827038.81,0.7983668451335191,2012,0.0
2012-08-21,4147483.23,3364364.64,0.8111822166427421,2012,0.0
2012-08-22,4597682.81,3562468.33,0.7748399524759735,2012,0.0
2012-08-23,5478869.55,4195738.04,0.7658036026793155,2012,0.0
2012-08-24,4637850.57,3632210.67,0.7831668172957111,2012,0.0
2012-08-25,3589566.28,2784342.75,0.7756766508292473,2012,0.0
2012-08-26,4280204.53,3476942.48,0.8123309191488566,2012,0.0
2012-08-27,3038895.84,2365260.68,0.7783289735919348,2012,0.0
2012-08-28,9508676.62,7439851.59,0.7824276592130021,2012,0.0
2012-08-29,9260558.32,7336294.54,0.7922086645851392,2012,0.0
2012-08-30,10086534.1,7950911.72,0.7882699489411333,2012,0.0
2012-08-31,9104678.52,7277460.12,0.7993099486174939,2012,0.0
2012-09-01,8560208.92,6738335.17,0.787169475999191,2012,0.0
2012-09-02,2587099.44,1946097.28,0.7522313405935414,2012,0.0
2012-09-03,3865505.01,3063431.08,0.7925047495928611,2012,0.0
2012-09-04,3645749.44,2876968.79,0.7891295980011177,2012,0.0
2012-09-05,2398185.51,1966376.48,0.8199434413228526,2012,0.0
2012-09-06,2858227.37,2147909.96,0.7514832383681218,2012,0.0
2012-09-07,3282753.8,2580035.06,0.7859362039273248,2012,0.0
2012-09-08,3666204.89,2804001.32,0.76482395396074,2012,0.0
2012-09-09,4458501.42,3589475.8,0.8050857142039443,2012,0.0
2012-09-10,4548962.79,3517300.88,0.7732094198994316,2012,0.0
2012-09-11,4021565.55,3264364.41,0.8117148332942131,2012,0.0
2012-09-12,3335978.29,2673690.65,0.8014712379917796,2012,0.0
2012-09-13,2609609.29,2103806.97,0.8061769928785011,2012,0.0
2012-09-14,3729228.43,2835412.27,0.7603214239144905,2012,0.0
2012-09-15,3605125.64,2849539.9,0.7904134791818239,2012,0.0
2012-09-16,4452012.44,3561492.95,0.7999737193007483,2012,0.0
2012-09-17,4811788.67,3932069.23,0.8171741320468258,2012,0.0
2012-09-18,5078878.07,4123200.89,0.8118330137427379,2012,0.0
